url,status,final_url,title,meta_description,h1,h1_count,canonical,robots,lang,og_title,schema_types,word_count,shop_links
https://www.natuurhout.be/,200,,Specialist in natuurhout | Natuurhout,Als specialist in natuurhout bieden wij tuinproducten aan in verschillende kwaliteitsvolle houtsoorten. Bekijk ons assortiment en vraag uw offerte aan!,Specialist in Kastanjehout,1,https://www.natuurhout.be/,max-image-preview:large,nl-NL,Specialist in natuurhout | Natuurhout,"BreadcrumbList,ImageObject,ListItem,Organization,WebPage,WebSite",742,https://natuurhout.shop/
https://www.natuurhout.be/aanbiedingen-2/,200,,Aanbiedingen Kastanjehout Hekwerk & Poorten | Natuurhout,Meerdere aanbiedingen en lopende promoties voor kastanjehout hekwerk en poorten.,,0,https://www.natuurhout.be/aanbiedingen-2/,max-image-preview:large,nl-NL,Aanbiedingen Kastanjehout Hekwerk & Poorten | Natuurhout,"BreadcrumbList,ImageObject,ListItem,Organization,WebPage,WebSite",458,https://natuurhout.shop/
https://www.natuurhout.be/about-us/,200,,Natuurhout is een veelzijdig bedrijf | Natuurhout,We zijn een veelzijdig bedrijf met de scherpste prijzen in afsluitingen in kastanje,,0,https://www.natuurhout.be/about-us/,max-image-preview:large,nl-NL,Natuurhout is een veelzijdig bedrijf | Natuurhout,"BreadcrumbList,ImageObject,ListItem,Organization,WebPage,WebSite",842,https://natuurhout.shop/
https://www.natuurhout.be/afsluiting-hazelaar-kopen/,200,https://www.natuurhout.be/project/hazelaarrasterwerk//,Hazelaar Hekwerk | Tuin Omheining | Natuurhout,Een hazelaar omheining biedt een natuurlijke en warme uitstraling aan uw omgeving. Bekijk de verschillende soort hekwerk mogelijkheden en vraag uw offerte aan!,🌿 Hazelaar rasterwerk – Sierlijk vlechtwerk met een natuurlijk karakter,1,https://www.natuurhout.be/project/hazelaarrasterwerk/,max-image-preview:large,nl-NL,Hazelaar Hekwerk | Tuin Omheining | Natuurhout,"BreadcrumbList,ImageObject,ListItem,Organization,Person,WebPage,WebSite",857,https://natuurhout.shop/
https://www.natuurhout.be/afsluitingen-kopen-vlaanderen/,200,https://www.natuurhout.be/landelijke-afsluiting//,Landelijke afsluitingen | Natuurhout,"Bij ons vindt u landelijke afsluitingen die uw tuin, erf of bedrijfsterrein op een duurzame en stijlvolle manier kunnen afbakenen. Bekijk ons aanbod!",Landelijke afsluitingen,1,https://www.natuurhout.be/landelijke-afsluiting/,max-image-preview:large,nl-NL,Landelijke afsluitingen | Natuurhout,"BreadcrumbList,ImageObject,ListItem,Organization,WebPage,WebSite",1097,https://natuurhout.shop/
https://www.natuurhout.be/algemene-voorwaarden-van-beho-comm-v/,200,,ALGEMENE VOORWAARDEN VAN BEHO comm.v | Natuurhout,"1. Algemeen a. Deze algemene voorwaarden (""Algemene Voorwaarden"") maken deel uit van elke offerte uitgebracht door Beho en van elke overeenkomst waarbij het Beho zaken levert en/of werkzaamheden verricht (waaronder begrepen opdracht en aanneming van werk). b. Andersluidende voorwaarden maken alléén deel uit van de overeenkomst, indien en voor zover het Beho en de wederpartij",,0,https://www.natuurhout.be/algemene-voorwaarden-van-beho-comm-v/,max-image-preview:large,nl-NL,ALGEMENE VOORWAARDEN VAN BEHO comm.v | Natuurhout,"BreadcrumbList,ImageObject,ListItem,Organization,WebPage,WebSite",4282,https://natuurhout.shop/
https://www.natuurhout.be/category/blog/,200,,Blog | Natuurhout,,,0,https://www.natuurhout.be/category/blog/,max-image-preview:large,nl-NL,,"BreadcrumbList,CollectionPage,ImageObject,ListItem,Organization,WebSite",773,https://natuurhout.shop/
https://www.natuurhout.be/category/fit-row/,200,,Fit Row | Natuurhout,,,0,https://www.natuurhout.be/category/fit-row/,max-image-preview:large,nl-NL,,"BreadcrumbList,CollectionPage,ImageObject,ListItem,Organization,WebSite",601,https://natuurhout.shop/
https://www.natuurhout.be/category/life-style/,200,,Life Style | Natuurhout,,,0,https://www.natuurhout.be/category/life-style/,max-image-preview:large,nl-NL,,"BreadcrumbList,CollectionPage,ImageObject,ListItem,Organization,WebSite",553,https://natuurhout.shop/
https://www.natuurhout.be/category/post-slider/,200,,Post Slider | Natuurhout,,,0,https://www.natuurhout.be/category/post-slider/,max-image-preview:large,nl-NL,,"BreadcrumbList,CollectionPage,ImageObject,ListItem,Organization,WebSite",612,https://natuurhout.shop/
